Drug name;BACDOR_00571 p-value;BACDOR_00571 FDR;BACDOR_00571 stat;BACDOR_00571 identity;BACDOR_00571 consumed drug;BACDOR_00665 p-value;BACDOR_00665 FDR;BACDOR_00665 stat;BACDOR_00665 identity;BACDOR_00665 consumed drug;BACDOR_03091 p-value;BACDOR_03091 FDR;BACDOR_03091 stat;BACDOR_03091 identity;BACDOR_03091 consumed drug;BACDOR_03379 p-value;BACDOR_03379 FDR;BACDOR_03379 stat;BACDOR_03379 identity;BACDOR_03379 consumed drug;BACDOR_03642 p-value;BACDOR_03642 FDR;BACDOR_03642 stat;BACDOR_03642 identity;BACDOR_03642 consumed drug;BACDOR_03934 p-value;BACDOR_03934 FDR;BACDOR_03934 stat;BACDOR_03934 identity;BACDOR_03934 consumed drug;BACDOR_03937 p-value;BACDOR_03937 FDR;BACDOR_03937 stat;BACDOR_03937 identity;BACDOR_03937 consumed drug;BACDOR_03988 p-value;BACDOR_03988 FDR;BACDOR_03988 stat;BACDOR_03988 identity;BACDOR_03988 consumed drug;BT_0152 p-value;BT_0152 FDR;BT_0152 stat;BT_0152 identity;BT_0152 consumed drug;BT_0217 p-value;BT_0217 FDR;BT_0217 stat;BT_0217 identity;BT_0217 consumed drug;BT_0445 p-value;BT_0445 FDR;BT_0445 stat;BT_0445 identity;BT_0445 consumed drug;BT_0569 p-value;BT_0569 FDR;BT_0569 stat;BT_0569 identity;BT_0569 consumed drug;BT_1006 p-value;BT_1006 FDR;BT_1006 stat;BT_1006 identity;BT_1006 consumed drug;BT_1148 p-value;BT_1148 FDR;BT_1148 stat;BT_1148 identity;BT_1148 consumed drug;BT_1192 p-value;BT_1192 FDR;BT_1192 stat;BT_1192 identity;BT_1192 consumed drug;BT_1429 p-value;BT_1429 FDR;BT_1429 stat;BT_1429 identity;BT_1429 consumed drug;BT_2068 p-value;BT_2068 FDR;BT_2068 stat;BT_2068 identity;BT_2068 consumed drug;BT_2366 p-value;BT_2366 FDR;BT_2366 stat;BT_2366 identity;BT_2366 consumed drug;BT_2367 p-value;BT_2367 FDR;BT_2367 stat;BT_2367 identity;BT_2367 consumed drug;BT_2961 p-value;BT_2961 FDR;BT_2961 stat;BT_2961 identity;BT_2961 consumed drug;BT_3112 p-value;BT_3112 FDR;BT_3112 stat;BT_3112 identity;BT_3112 consumed drug;BT_3124 p-value;BT_3124 FDR;BT_3124 stat;BT_3124 identity;BT_3124 consumed drug;BT_4075 p-value;BT_4075 FDR;BT_4075 stat;BT_4075 identity;BT_4075 consumed drug;BT_4091 p-value;BT_4091 FDR;BT_4091 stat;BT_4091 identity;BT_4091 consumed drug;BT_4096 p-value;BT_4096 FDR;BT_4096 stat;BT_4096 identity;BT_4096 consumed drug;COLAER_00311 p-value;COLAER_00311 FDR;COLAER_00311 stat;COLAER_00311 identity;COLAER_00311 consumed drug;COLAER_00815 p-value;COLAER_00815 FDR;COLAER_00815 stat;COLAER_00815 identity;COLAER_00815 consumed drug;COLAER_01707 p-value;COLAER_01707 FDR;COLAER_01707 stat;COLAER_01707 identity;COLAER_01707 consumed drug;COLAER_01846 p-value;COLAER_01846 FDR;COLAER_01846 stat;COLAER_01846 identity;COLAER_01846 consumed drug;COLAER_02348 p-value;COLAER_02348 FDR;COLAER_02348 stat;COLAER_02348 identity;COLAER_02348 consumed drug;Gene combination p-value;Gene combination FDR;Gene combination stat;Gene combination identity;Gene combination consumed drug
Artemisinin;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.33848241;1.00000000;(20,67,20,64);52.239;0.600;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.33848241;0.35629728;(20,67,20,64);52.239;0.600
Bisacodyl;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.25880039;1.00000000;(6,67,6,54);80.296;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.09649688;0.69756781;(10,67,10,54);50.965;0.800;0.20364621;1.00000000;(7,67,7,54);65.248;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00287746;0.03596824;(22,67,22,54);62.016;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00204619;0.02668947;(23,67,23,54);51.273;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.25880039;1.00000000;(6,67,6,54);61.862;0.800;0.04367754;0.35899344;(13,67,13,54);53.465;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00554462;0.06276931;(20,67,20,54);51.282;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.09649688;0.69756781;(10,67,10,54);50.196;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.15952286;1.00000000;(8,67,8,54);50.216;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.07448882;0.58043237;(11,67,11,54);55.235;0.800;0.25880039;1.00000000;(6,67,6,54);50.545;0.800;0.80597015;1.00000000;(1,67,1,54);100.000;0.800;0.80597015;1.00000000;(1,67,1,54);100.000;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00100579;0.00154737;(25,67,25,54);53.465;0.800
Danazol;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.64721845;1.00000000;(13,67,13,65);53.465;0.200;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.64721845;0.64721845;(13,67,13,65);53.465;0.200
Deflazacort;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00296616;0.03632033;(6,67,6,27);80.296;0.200;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000238;0.00006814;(9,67,10,16);50.965;0.400;0.00045228;0.00678426;(5,67,5,16);81.463;0.400;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00002820;0.00067128;(12,67,13,27);53.465;0.200;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000238;0.00006814;(9,67,10,16);50.196;0.400;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00034038;0.00551966;(8,67,8,27);50.216;0.200;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00045228;0.00678426;(5,67,5,16);84.348;0.400;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,67,1,16);100.000;0.400;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000001;0.00000004;(19,67,21,27);50.545;0.200
Diacetamate;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.09385995;0.69525889;(6,67,6,46);80.296;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.01643725;0.15654523;(10,67,10,46);50.965;0.800;0.06154751;0.49903385;(7,67,7,46);65.248;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00002909;0.00067128;(22,67,22,46);62.016;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00001551;0.00042311;(23,67,23,46);51.273;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.09385995;0.69525889;(6,67,6,46);61.862;0.800;0.00401100;0.04628081;(13,67,13,46);53.465;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00009675;0.00170742;(20,67,20,46);51.282;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.02576650;0.22735146;(9,67,9,46);73.797;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.01643725;0.15654523;(10,67,10,46);50.196;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.04000588;0.33338233;(8,67,8,46);50.216;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.01038142;0.10739401;(11,67,11,46);55.235;0.800;0.09385995;0.69525889;(6,67,6,46);50.545;0.800;0.68656716;1.00000000;(1,67,1,46);100.000;0.800;0.68656716;1.00000000;(1,67,1,46);100.000;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000415;0.00000922;(25,67,25,46);53.465;0.800
Diflorasone diacetate;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00949796;0.09997858;(2,67,2,7);99.095;0.600;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00003792;0.00078462;(7,67,10,11);50.965;0.400;0.00019611;0.00336183;(7,67,7,22);65.248;0.200;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000117;0.00003888;(12,67,13,22);53.465;0.200;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00003792;0.00078462;(7,67,10,11);50.196;0.400;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00004903;0.00098053;(8,67,8,22);50.216;0.200;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000055;0.00002059;(11,67,11,22);55.235;0.200;0.00026388;0.00439799;(5,67,6,11);50.545;0.400;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,67,1,11);100.000;0.400;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000000;0.00000000;(18,67,21,22);50.545;0.200
Diltiazem;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000001;0.00000067;(6,67,6,6);50.545;0.400;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000001;0.00000003;(6,67,6,6);50.545;0.400
Drospirenone;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00136940;0.01825861;(8,67,22,10);60.630;0.200;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00136940;0.00192218;(8,67,22,10);60.630;0.200
Entacapone;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.01877127;0.17598064;(16,67,16,54);61.257;0.600;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.01398643;0.13757149;(17,67,17,54);59.524;0.600;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.20364621;1.00000000;(7,67,7,54);50.296;0.600;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00144164;0.00192218;(24,67,24,54);53.529;0.600
Famciclovir;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00038839;0.00613253;(6,67,6,20);80.296;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000074;0.00002629;(10,67,10,20);50.965;0.800;0.00008914;0.00162072;(7,67,7,20);65.248;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000000;0.00000000;(22,67,22,27);62.016;0.200;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000000;0.00000000;(23,67,23,27);51.273;0.200;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000010;0.00000492;(13,67,13,24);53.465;0.600;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00001931;0.00048284;(8,67,8,20);50.216;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000013;0.00000560;(11,67,11,20);55.235;0.800;0.00134872;0.01825861;(6,67,6,24);50.545;0.600;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,67,1,24);100.000;0.600;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000000;0.00000000;(23,67,24,27);53.465;0.200
